"Id","YearBuilt","YearRemodelled","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingArea","BasementExisting","FireplaceExisting","PoolExisting","GarageExisting","GarageCarCount","CloseToCommute","SalesCondition","ZipCode","City","StateAbbreviation","State","SalesPrice"
13668,1957,0,3,1.0,1.0,1800,0,0,1,1,3,0,5,98056,"RENTON","WA","Washington",265000.0
13669,1963,0,4,2.75,1.0,3840,1,1,1,0,0,1,4,98040,"MERCER ISLAND","WA","Washington",1140000.0
13670,1987,0,4,3.25,2.0,3674,0,1,0,1,3,1,3,98166,"SEATTLE","WA","Washington",699950.0
13671,1950,0,4,1.0,1.5,1710,0,0,0,1,1,1,3,98125,"SEATTLE","WA","Washington",433000.0
13672,2003,0,2,1.75,1.0,910,0,1,0,1,3,1,3,98038,"MAPLE VALLEY","WA","Washington",200000.0
13673,1968,0,3,1.5,1.0,1340,0,1,0,0,0,0,3,98059,"RENTON","WA","Washington",289571.0
13674,1967,0,4,2.75,1.0,2340,1,1,1,1,1,0,3,98155,"SEATTLE","WA","Washington",440000.0
13675,1960,0,3,1.5,1.0,1510,1,1,0,0,0,1,3,98007,"BELLEVUE","WA","Washington",400000.0
13676,1962,0,4,2.5,2.0,2630,0,1,0,0,0,1,5,98027,"ISSAQUAH","WA","Washington",589000.0
13677,1986,0,5,2.25,2.0,3100,0,0,1,0,0,0,3,98053,"REDMOND","WA","Washington",850000.0
13678,1903,0,3,1.0,1.5,940,0,0,1,0,0,0,3,98122,"SEATTLE","WA","Washington",520000.0
13679,2000,0,2,2.25,2.0,1370,1,0,0,1,3,1,3,98102,"SEATTLE","WA","Washington",555000.0
13680,2004,0,3,2.5,2.0,2480,0,1,0,0,0,0,3,98065,"SNOQUALMIE","WA","Washington",470000.0
13681,1990,0,2,1.5,2.0,1068,0,0,0,0,0,0,3,98028,"KENMORE","WA","Washington",207000.0
13682,1976,0,4,2.75,1.0,2390,1,1,0,1,3,1,3,98003,"FEDERAL WAY","WA","Washington",379750.0
13683,1950,0,4,1.75,1.0,2170,1,1,1,1,2,1,3,98117,"SEATTLE","WA","Washington",709000.0
13684,1993,0,3,2.5,1.0,1520,1,1,0,1,2,1,3,98092,"AUBURN","WA","Washington",240000.0
13685,1953,0,4,1.5,1.0,2210,1,1,0,1,2,1,4,98166,"SEATTLE","WA","Washington",445500.0
13686,1959,0,5,2.5,1.0,3200,1,1,1,0,0,0,5,98199,"SEATTLE","WA","Washington",1310000.0
13687,1959,0,3,1.5,1.0,1160,0,0,0,1,3,1,4,98059,"RENTON","WA","Washington",210000.0
13688,1999,0,4,2.5,2.0,2670,0,0,0,0,0,0,3,98074,"SAMMAMISH","WA","Washington",603000.0
13689,1987,0,3,2.5,2.0,2520,0,0,1,0,0,0,3,98074,"SAMMAMISH","WA","Washington",720000.0
13690,1947,0,2,1.0,1.5,760,0,1,0,0,0,0,3,98168,"SEATTLE","WA","Washington",92000.0
13691,1901,0,3,1.75,2.0,1310,0,0,0,1,2,0,4,98107,"SEATTLE","WA","Washington",600000.0
13692,1948,0,4,2.5,1.0,2750,1,1,0,0,0,0,4,98146,"SEATTLE","WA","Washington",725000.0
13693,1961,0,5,2.25,1.0,1790,1,1,1,0,0,0,3,98155,"SEATTLE","WA","Washington",409950.0
13694,1989,0,3,2.5,2.0,1790,0,1,0,0,0,1,3,98074,"SAMMAMISH","WA","Washington",515000.0
13695,1968,0,4,2.5,1.0,2400,1,0,1,0,0,1,5,98058,"RENTON","WA","Washington",495000.0
13696,1973,0,4,2.25,2.0,2420,0,0,1,0,0,0,4,98040,"MERCER ISLAND","WA","Washington",998000.0
13697,1986,0,3,1.75,1.0,1710,0,1,1,0,0,1,4,98033,"KIRKLAND","WA","Washington",630000.0
13698,1972,0,3,1.75,1.0,2000,1,1,0,1,2,0,3,98177,"SEATTLE","WA","Washington",410000.0
13699,1979,0,3,2.25,1.0,1580,0,0,0,0,0,0,4,98006,"BELLEVUE","WA","Washington",602000.0
13700,1980,0,4,2.75,1.0,2310,1,1,1,0,0,1,5,98006,"BELLEVUE","WA","Washington",750000.0
13701,1991,0,4,3.0,2.5,3580,1,1,0,0,0,0,3,98007,"BELLEVUE","WA","Washington",711600.0
13702,2006,0,4,4.0,2.0,4320,1,1,1,0,0,1,3,98027,"ISSAQUAH","WA","Washington",1050000.0
13703,1981,0,3,2.5,2.0,2560,0,1,0,0,0,0,3,98072,"WOODINVILLE","WA","Washington",700500.0
13704,1991,0,4,2.5,2.0,3220,0,1,1,0,0,0,3,98056,"RENTON","WA","Washington",710000.0
13705,1985,0,3,2.0,1.0,1660,1,0,1,1,1,0,3,98001,"AUBURN","WA","Washington",250000.0
13706,1964,0,4,1.75,1.0,2420,1,0,0,0,0,1,5,98056,"RENTON","WA","Washington",350000.0
13707,1961,0,7,3.5,1.0,2870,1,1,1,1,3,0,3,98125,"SEATTLE","WA","Washington",475000.0
13708,1920,0,2,1.0,1.0,830,0,0,0,1,1,1,2,98118,"SEATTLE","WA","Washington",200000.0
13709,1972,0,4,2.25,1.0,1710,1,0,1,0,0,0,4,98034,"KIRKLAND","WA","Washington",450000.0
13710,2005,0,5,2.5,2.0,2600,0,1,1,0,0,1,3,98058,"RENTON","WA","Washington",316000.0
13711,1920,0,1,1.0,1.0,670,0,1,0,0,0,1,3,98126,"SEATTLE","WA","Washington",310000.0
13712,1970,0,3,1.5,1.0,1500,0,0,0,0,0,0,4,98045,"NORTH BEND","WA","Washington",392000.0
13713,2000,0,3,3.25,3.0,1460,0,1,1,1,2,0,3,98103,"SEATTLE","WA","Washington",521000.0
13714,1949,0,2,2.0,1.0,1540,1,1,0,0,0,0,3,98117,"SEATTLE","WA","Washington",495000.0
13715,1967,0,3,1.75,1.0,1250,0,1,1,0,0,0,4,98001,"AUBURN","WA","Washington",209000.0
13716,1959,0,4,2.0,1.5,2230,0,0,1,1,3,0,5,98005,"BELLEVUE","WA","Washington",809950.0
13717,1950,2008,2,1.75,1.0,1800,1,1,0,0,0,0,3,98038,"MAPLE VALLEY","WA","Washington",400000.0
13718,1980,0,4,2.5,1.0,2400,1,1,0,1,3,0,3,98133,"SEATTLE","WA","Washington",415000.0
13719,1978,0,4,2.0,2.0,2370,0,0,1,0,0,0,4,98001,"AUBURN","WA","Washington",411000.0
13720,1926,0,2,2.0,1.0,1830,1,0,0,1,2,1,4,98109,"SEATTLE","WA","Washington",825000.0
13721,2008,0,3,2.25,3.0,1480,0,0,1,0,0,1,3,98103,"SEATTLE","WA","Washington",436000.0
13722,1991,0,4,2.5,2.0,2620,0,0,1,1,1,0,3,98058,"RENTON","WA","Washington",460000.0
13723,1959,0,3,1.0,1.0,1300,0,0,1,0,0,0,4,98065,"SNOQUALMIE","WA","Washington",281000.0
13724,1956,0,4,1.5,1.0,3120,1,1,0,1,3,1,3,98199,"SEATTLE","WA","Washington",976000.0
13725,1995,0,4,2.5,2.0,2400,0,0,1,1,2,0,3,98045,"NORTH BEND","WA","Washington",485000.0
13726,1984,0,3,2.5,2.0,1430,0,0,1,0,0,1,3,98074,"SAMMAMISH","WA","Washington",429000.0
13727,1990,0,3,2.5,2.0,2480,0,0,1,0,0,0,3,98006,"BELLEVUE","WA","Washington",729000.0
13728,2003,0,3,2.5,2.0,2280,0,0,0,1,2,0,3,98075,"SAMMAMISH","WA","Washington",625000.0
13729,1987,0,3,1.75,1.0,1390,0,1,1,0,0,0,4,98092,"AUBURN","WA","Washington",218500.0
13730,1960,0,3,1.0,1.0,1030,0,1,1,0,0,0,4,98023,"FEDERAL WAY","WA","Washington",175000.0
13731,1938,0,3,1.0,1.0,1120,0,0,0,0,0,1,4,98125,"SEATTLE","WA","Washington",442500.0
13732,1986,0,3,2.0,2.0,1300,0,0,0,0,0,0,3,98115,"SEATTLE","WA","Washington",480000.0
13733,1965,0,3,2.25,1.0,2410,1,0,0,0,0,1,4,98117,"SEATTLE","WA","Washington",715500.0
13734,1963,0,3,1.75,1.0,1470,0,0,0,1,2,0,3,98052,"REDMOND","WA","Washington",432500.0
13735,2005,0,5,4.25,2.0,4720,1,0,1,1,1,1,3,98053,"REDMOND","WA","Washington",875000.0
13736,1940,1991,5,2.75,2.0,2910,0,0,1,0,0,1,4,98146,"SEATTLE","WA","Washington",605000.0
13737,2002,0,4,4.0,3.0,5000,0,0,0,1,1,1,3,98006,"BELLEVUE","WA","Washington",1690000.0
13738,1982,0,3,2.25,1.0,1690,1,1,0,1,1,1,5,98178,"SEATTLE","WA","Washington",318000.0
13739,1947,0,2,1.0,1.0,1000,0,1,0,1,2,0,4,98133,"SEATTLE","WA","Washington",311300.0
13740,1992,0,5,2.75,1.0,2400,1,0,0,0,0,0,3,98188,"SEATTLE","WA","Washington",325000.0
13741,2008,0,5,3.5,2.0,3330,1,0,0,0,0,0,3,98006,"BELLEVUE","WA","Washington",795000.0
13742,1962,0,4,2.25,1.0,2060,1,1,0,1,3,0,4,98006,"BELLEVUE","WA","Washington",558000.0
13743,1995,0,4,2.5,2.0,3090,0,1,0,0,0,0,3,98023,"FEDERAL WAY","WA","Washington",370000.0
13744,1993,0,4,2.5,2.0,2350,0,1,0,1,1,1,3,98074,"SAMMAMISH","WA","Washington",598850.0
13745,1994,0,3,2.5,2.0,2180,0,1,0,0,0,0,3,98056,"RENTON","WA","Washington",515700.0
13746,2003,0,3,2.5,2.0,1870,0,1,0,1,3,0,3,98011,"BOTHELL","WA","Washington",458000.0
13747,1985,0,3,2.25,2.5,3530,0,1,0,0,0,1,4,98042,"KENT","WA","Washington",583500.0
13748,2003,0,4,2.5,2.0,2460,0,1,0,1,2,1,3,98034,"KIRKLAND","WA","Washington",653750.0
13749,2011,0,3,2.5,2.0,1650,0,1,1,0,0,0,3,98038,"MAPLE VALLEY","WA","Washington",299000.0
13750,1976,0,5,3.0,1.0,3480,1,0,0,0,0,1,4,98027,"ISSAQUAH","WA","Washington",532000.0
13751,1985,0,3,2.75,2.0,3176,1,0,1,0,0,0,4,98198,"SEATTLE","WA","Washington",819000.0
13752,1967,0,4,2.25,1.0,2420,1,0,0,1,1,0,5,98146,"SEATTLE","WA","Washington",945000.0
13753,1983,0,4,2.5,1.0,2260,0,1,0,1,2,1,3,98074,"SAMMAMISH","WA","Washington",608700.0
13754,1949,0,4,2.0,1.0,2380,1,0,0,0,0,0,4,98199,"SEATTLE","WA","Washington",812000.0
13755,1959,0,5,2.5,1.0,3400,1,1,0,1,3,0,4,98133,"SEATTLE","WA","Washington",464000.0
13756,1989,0,4,2.5,2.0,3770,0,1,0,0,0,0,3,98053,"REDMOND","WA","Washington",950000.0
13757,2005,0,4,2.5,2.0,2672,1,1,1,0,0,1,3,98115,"SEATTLE","WA","Washington",700000.0
13758,1939,0,3,1.0,1.0,1180,1,0,0,0,0,0,3,98117,"SEATTLE","WA","Washington",435000.0
13759,1954,0,3,1.5,1.0,1810,0,0,1,0,0,1,4,98001,"AUBURN","WA","Washington",229500.0
13760,1952,0,3,3.0,1.5,2610,0,1,1,1,3,0,4,98166,"SEATTLE","WA","Washington",1580000.0
13761,1963,0,3,2.25,1.0,1450,1,1,1,1,1,0,4,98003,"FEDERAL WAY","WA","Washington",265000.0
13762,1950,0,2,2.0,1.0,1600,0,0,0,1,3,1,3,98072,"WOODINVILLE","WA","Washington",995000.0
13763,1975,0,3,2.5,1.0,2650,1,0,1,1,2,1,5,98155,"SEATTLE","WA","Washington",590000.0
13764,1979,0,4,2.75,2.0,2490,1,0,0,0,0,0,3,98125,"SEATTLE","WA","Washington",740000.0
13765,1909,0,2,0.75,1.0,850,1,1,0,1,1,0,5,98108,"SEATTLE","WA","Washington",360000.0
13766,1976,0,4,2.0,1.0,1820,1,0,0,1,2,0,3,98136,"SEATTLE","WA","Washington",548500.0
13767,1920,0,3,1.75,1.0,1960,1,0,1,1,3,0,4,98115,"SEATTLE","WA","Washington",599000.0
13768,1978,0,3,1.75,1.0,2350,1,0,0,1,2,1,4,98074,"SAMMAMISH","WA","Washington",615000.0
13769,1988,0,3,1.75,1.0,1320,0,0,1,1,1,0,3,98168,"SEATTLE","WA","Washington",292000.0
13770,1988,0,4,2.5,2.0,3720,0,0,1,1,3,1,3,98053,"REDMOND","WA","Washington",899000.0
13771,1912,0,3,1.5,1.0,2210,1,0,1,1,2,1,4,98136,"SEATTLE","WA","Washington",500000.0
13772,2003,0,3,2.5,1.5,1910,0,0,1,0,0,0,3,98074,"SAMMAMISH","WA","Washington",580000.0
13773,1998,0,4,2.5,2.0,2840,0,0,0,0,0,1,3,98028,"KENMORE","WA","Washington",580000.0
13774,1920,0,3,1.0,1.0,1320,1,0,0,0,0,1,4,98107,"SEATTLE","WA","Washington",594000.0
13775,1981,0,3,2.5,1.0,2440,1,1,1,0,0,0,3,98052,"REDMOND","WA","Washington",500000.0
13776,1988,0,4,2.5,1.0,2420,1,0,1,1,3,0,3,98029,"ISSAQUAH","WA","Washington",550000.0
13777,1993,0,3,1.75,1.0,1180,0,1,0,1,3,1,4,98038,"MAPLE VALLEY","WA","Washington",275000.0
13778,1983,0,3,2.25,2.0,1820,0,1,1,1,3,1,4,98058,"RENTON","WA","Washington",390000.0
13779,1910,0,3,3.0,2.5,3760,1,1,0,0,0,0,4,98116,"SEATTLE","WA","Washington",1250000.0
13780,1997,0,3,2.25,2.0,1560,0,0,0,1,1,0,3,98168,"SEATTLE","WA","Washington",250000.0
13781,1979,0,2,2.5,2.0,1790,0,1,0,1,3,1,4,98052,"REDMOND","WA","Washington",405000.0
13782,1968,0,3,1.0,1.0,1430,0,1,1,0,0,1,3,98023,"FEDERAL WAY","WA","Washington",213950.0
13783,1963,0,3,1.5,1.0,1390,0,0,0,1,3,0,4,98031,"KENT","WA","Washington",232000.0
13784,1959,0,3,1.0,1.0,990,0,0,1,1,3,1,4,98002,"AUBURN","WA","Washington",207000.0
13785,1988,0,3,1.75,1.0,1880,0,0,0,1,1,0,3,98001,"AUBURN","WA","Washington",310000.0
13786,1990,0,3,2.5,3.0,2520,0,1,1,0,0,1,3,98106,"SEATTLE","WA","Washington",540000.0
13787,1920,1990,4,1.5,1.5,2060,1,0,0,1,3,0,3,98103,"SEATTLE","WA","Washington",750000.0
13788,2005,0,4,2.5,2.0,2150,0,1,0,0,0,0,3,98056,"RENTON","WA","Washington",392500.0
13789,1962,0,5,2.5,1.0,2500,1,0,0,1,3,0,3,98003,"FEDERAL WAY","WA","Washington",305000.0
13790,1984,0,3,2.5,2.0,2390,0,0,1,0,0,1,3,98052,"REDMOND","WA","Washington",735000.0
13791,1990,0,4,2.5,2.0,2400,0,1,1,0,0,0,3,98074,"SAMMAMISH","WA","Washington",575000.0
13792,1915,0,2,1.0,1.0,660,0,0,1,1,2,0,3,98106,"SEATTLE","WA","Washington",175000.0
13793,1984,0,4,2.5,2.0,1580,0,0,1,0,0,0,4,98042,"KENT","WA","Washington",291000.0
13794,1994,0,4,2.5,2.0,3250,0,1,0,0,0,1,3,98075,"SAMMAMISH","WA","Washington",791500.0
13795,1951,0,3,2.0,1.0,1880,1,0,0,0,0,0,3,98155,"SEATTLE","WA","Washington",475000.0
13796,1951,0,2,1.0,1.0,1190,0,0,0,1,3,0,3,98178,"SEATTLE","WA","Washington",238950.0
13797,2000,0,3,3.5,2.0,1280,1,0,1,1,3,1,3,98107,"SEATTLE","WA","Washington",470000.0
13798,1978,0,4,1.75,1.0,2380,1,1,0,0,0,0,3,98074,"SAMMAMISH","WA","Washington",420000.0
13799,1996,0,3,2.5,2.0,2040,0,1,1,0,0,0,3,98045,"NORTH BEND","WA","Washington",440000.0
13800,1929,0,4,1.75,1.5,1440,1,1,0,0,0,1,4,98117,"SEATTLE","WA","Washington",656000.0
13801,2001,0,3,2.5,2.0,2120,0,1,1,0,0,1,3,98053,"REDMOND","WA","Washington",559950.0
13802,1935,0,2,2.0,1.0,990,0,0,1,1,3,1,3,98122,"SEATTLE","WA","Washington",600000.0
13803,1972,0,3,1.0,1.0,1710,0,1,1,1,3,1,4,98001,"AUBURN","WA","Washington",255000.0
13804,1957,0,4,1.5,1.5,1840,0,0,0,1,2,1,3,98106,"SEATTLE","WA","Washington",210750.0
13805,1909,0,4,1.0,1.5,1150,0,0,0,1,3,0,3,98109,"SEATTLE","WA","Washington",485000.0
13806,1995,0,3,2.5,2.0,2250,0,1,0,0,0,0,3,98038,"MAPLE VALLEY","WA","Washington",390000.0
13807,1970,0,3,2.5,1.0,2460,1,0,1,0,0,0,4,98059,"RENTON","WA","Washington",405000.0
13808,1905,0,4,1.0,1.5,1540,0,1,0,0,0,0,2,98116,"SEATTLE","WA","Washington",462500.0
13809,1978,0,4,2.25,1.0,2210,1,1,1,0,0,1,3,98059,"RENTON","WA","Washington",435000.0
13810,2003,0,3,2.5,2.0,1440,0,0,1,1,1,0,3,98053,"REDMOND","WA","Washington",440000.0
13811,1978,0,3,1.75,1.0,1790,0,0,0,0,0,0,3,98023,"FEDERAL WAY","WA","Washington",299950.0
13812,1970,1998,2,1.5,2.0,1120,0,1,1,1,3,1,3,98122,"SEATTLE","WA","Washington",440000.0
13813,1975,0,3,2.5,1.0,1260,0,0,1,1,2,0,3,98045,"NORTH BEND","WA","Washington",312620.0
13814,1981,0,3,1.5,1.0,1180,1,1,0,0,0,0,3,98074,"SAMMAMISH","WA","Washington",372500.0
13815,1994,0,3,2.5,2.0,1730,0,0,0,0,0,1,3,98003,"FEDERAL WAY","WA","Washington",297262.0
13816,1963,0,4,3.0,1.0,2250,1,1,0,0,0,0,4,98005,"BELLEVUE","WA","Washington",735000.0
13817,1922,0,3,1.5,2.0,1550,0,0,0,0,0,1,4,98177,"SEATTLE","WA","Washington",430000.0
13818,1995,0,2,1.75,1.5,1070,0,1,1,1,1,0,3,98014,"CARNATION","WA","Washington",241000.0
13819,1969,0,3,1.0,1.0,1460,0,1,1,0,0,0,4,98042,"KENT","WA","Washington",201000.0
13820,1910,0,2,1.0,1.0,1060,0,1,0,1,2,1,4,98115,"SEATTLE","WA","Washington",570000.0
13821,1967,0,4,1.75,1.0,1840,1,1,0,0,0,0,3,98052,"REDMOND","WA","Washington",538000.0
13822,2011,0,3,2.5,2.0,2440,0,1,1,1,1,0,3,98052,"REDMOND","WA","Washington",729000.0
13823,1955,0,4,1.75,1.0,1700,1,1,0,0,0,1,3,98006,"BELLEVUE","WA","Washington",331500.0
13824,1941,0,2,1.0,1.0,680,0,1,1,0,0,0,3,98188,"SEATTLE","WA","Washington",110700.0
13825,1996,0,3,2.0,1.0,1700,0,0,1,1,3,1,3,98022,"ENUMCLAW","WA","Washington",245000.0
13826,1956,0,3,1.75,1.0,2000,1,1,1,1,2,1,4,98177,"SEATTLE","WA","Washington",427000.0
13827,1953,0,4,1.75,1.0,2340,1,0,1,1,3,1,3,98115,"SEATTLE","WA","Washington",650500.0
13828,1939,0,2,1.0,1.0,1120,0,0,1,0,0,1,4,98155,"SEATTLE","WA","Washington",335900.0
13829,1939,0,2,2.0,1.5,1510,0,0,0,0,0,0,3,98199,"SEATTLE","WA","Washington",535000.0
13830,1906,0,5,2.0,1.0,2120,1,0,1,1,1,1,4,98144,"SEATTLE","WA","Washington",360000.0
13831,1968,0,3,2.25,1.0,1500,1,0,1,0,0,0,3,98055,"RENTON","WA","Washington",294900.0
13832,1928,0,2,1.0,1.0,1030,0,0,1,1,1,1,4,98115,"SEATTLE","WA","Washington",460000.0
13833,1990,0,4,3.5,2.0,5440,0,1,0,0,0,1,3,98053,"REDMOND","WA","Washington",1770000.0
13834,1905,0,2,1.0,1.0,1150,0,1,1,1,1,1,4,98112,"SEATTLE","WA","Washington",463000.0
13835,1962,0,5,1.5,1.0,2420,1,0,0,1,3,0,3,98022,"ENUMCLAW","WA","Washington",332000.0
13836,1943,0,4,2.0,1.0,1750,0,1,0,1,2,1,4,98056,"RENTON","WA","Washington",199500.0
13837,1943,0,4,2.0,1.0,1750,0,1,1,1,3,1,4,98056,"RENTON","WA","Washington",247000.0
13838,1992,0,4,2.5,2.0,2170,0,0,0,0,0,0,3,98019,"DUVALL","WA","Washington",442500.0
13839,2007,0,3,2.0,1.0,2540,0,1,0,1,3,0,3,98022,"ENUMCLAW","WA","Washington",600000.0
13840,2005,0,3,2.5,2.0,1690,0,0,0,1,3,1,3,98053,"REDMOND","WA","Washington",449000.0
13841,1926,0,4,1.0,1.5,1600,0,0,1,0,0,0,4,98115,"SEATTLE","WA","Washington",725000.0
13842,1961,2001,3,1.0,1.0,1060,0,0,0,1,2,1,3,98058,"RENTON","WA","Washington",215000.0
13843,1948,0,2,1.75,1.0,1990,1,1,0,1,2,0,3,98115,"SEATTLE","WA","Washington",582500.0
13844,1968,0,4,2.25,2.0,2210,0,1,0,1,1,1,4,98032,"KENT","WA","Washington",305000.0
13845,1959,1989,4,2.75,2.0,3090,1,0,1,0,0,0,3,98042,"KENT","WA","Washington",734000.0
13846,1986,0,3,2.0,1.0,1050,0,0,1,0,0,0,3,98019,"DUVALL","WA","Washington",300000.0
13847,1960,0,5,1.75,1.0,2550,1,1,1,0,0,0,5,98027,"ISSAQUAH","WA","Washington",525888.0
13848,1910,0,4,2.5,1.5,2095,1,1,0,1,2,0,5,98116,"SEATTLE","WA","Washington",711000.0
13849,1978,0,3,1.75,1.0,1520,1,1,0,0,0,0,3,98155,"SEATTLE","WA","Washington",360000.0
13850,1987,0,5,2.5,2.0,2750,0,1,1,0,0,1,3,98031,"KENT","WA","Washington",357000.0
13851,1960,0,3,1.75,1.0,1200,0,1,1,1,3,1,4,98002,"AUBURN","WA","Washington",235000.0
13852,1928,1976,3,1.75,1.0,1830,1,1,0,0,0,1,3,98040,"MERCER ISLAND","WA","Washington",550000.0
13853,1957,0,3,1.0,1.0,1160,0,1,1,0,0,1,4,98133,"SEATTLE","WA","Washington",324000.0
13854,1989,0,3,2.0,1.0,1750,1,1,0,0,0,0,3,98133,"SEATTLE","WA","Washington",420000.0
13855,2003,0,4,2.5,2.0,2400,0,1,0,0,0,1,3,98059,"RENTON","WA","Washington",450000.0
13856,2004,0,5,3.5,2.0,4140,1,1,0,1,3,0,3,98027,"ISSAQUAH","WA","Washington",825000.0
13857,1998,0,4,2.25,2.0,2115,0,1,0,1,2,1,3,98002,"AUBURN","WA","Washington",272000.0
13858,1990,0,3,2.0,1.5,2580,0,1,1,1,3,1,3,98166,"SEATTLE","WA","Washington",481000.0
13859,1927,0,3,1.0,1.0,1220,1,1,0,0,0,0,3,98117,"SEATTLE","WA","Washington",500000.0
13860,1940,0,2,1.5,1.0,1630,1,1,1,0,0,1,4,98107,"SEATTLE","WA","Washington",448000.0
13861,2004,0,2,2.0,1.0,1350,0,1,1,0,0,0,3,98053,"REDMOND","WA","Washington",480000.0
13862,2004,0,3,2.5,2.0,1690,0,1,0,0,0,1,3,98053,"REDMOND","WA","Washington",475000.0
13863,2005,0,2,2.25,2.0,1700,0,1,1,0,0,0,3,98029,"ISSAQUAH","WA","Washington",472500.0
13864,1979,0,4,2.25,1.0,1890,1,1,0,1,1,0,4,98003,"FEDERAL WAY","WA","Washington",291000.0
13865,1950,0,2,1.0,1.0,850,0,0,1,0,0,1,4,98133,"SEATTLE","WA","Washington",294000.0
13866,1967,0,4,2.5,1.0,2480,1,1,0,0,0,1,4,98004,"BELLEVUE","WA","Washington",1010000.0
13867,2002,0,3,2.5,2.0,1690,0,1,0,0,0,1,3,98053,"REDMOND","WA","Washington",442500.0
13868,1959,0,2,1.0,1.0,810,0,0,0,0,0,0,4,98023,"FEDERAL WAY","WA","Washington",170000.0
13869,1968,0,4,2.5,1.0,3980,1,0,0,0,0,1,3,98004,"BELLEVUE","WA","Washington",1580000.0
13870,1925,0,3,2.25,2.0,2580,1,1,0,1,1,0,3,98144,"SEATTLE","WA","Washington",665000.0
13871,2000,0,5,4.5,3.0,6085,0,0,0,1,3,0,3,98014,"CARNATION","WA","Washington",1610000.0
13872,1930,1991,2,1.75,1.0,2140,1,0,1,0,0,0,3,98112,"SEATTLE","WA","Washington",675000.0
13873,1957,1989,2,1.75,1.0,1360,0,1,0,0,0,0,3,98019,"DUVALL","WA","Washington",279900.0
13874,1929,0,4,1.5,1.5,1800,0,0,1,1,2,1,4,98103,"SEATTLE","WA","Washington",875000.0
13875,2005,0,3,2.5,2.0,1920,0,0,0,1,1,1,3,98029,"ISSAQUAH","WA","Washington",571000.0
13876,1927,0,3,1.0,1.5,860,0,0,1,1,3,1,3,98133,"SEATTLE","WA","Washington",320000.0
13877,1986,0,3,2.5,1.0,2340,0,0,1,0,0,0,3,98038,"MAPLE VALLEY","WA","Washington",525000.0
13878,1962,0,8,2.75,1.0,4040,1,1,1,0,0,0,4,98004,"BELLEVUE","WA","Washington",1650000.0
13879,1942,0,3,1.75,1.0,1160,1,1,1,0,0,1,3,98178,"SEATTLE","WA","Washington",137900.0
13880,1989,0,3,2.25,2.0,1680,0,1,0,1,1,1,4,98045,"NORTH BEND","WA","Washington",440000.0
13881,1945,0,3,1.0,1.0,1280,1,1,1,0,0,0,3,98122,"SEATTLE","WA","Washington",360000.0
13882,1977,0,4,1.5,1.0,1800,0,0,1,0,0,1,4,98045,"NORTH BEND","WA","Washington",271000.0
13883,1967,0,6,3.25,1.0,4250,1,1,1,0,0,1,3,98003,"FEDERAL WAY","WA","Washington",465000.0
13884,2004,0,4,2.5,2.0,2400,0,0,0,1,2,1,3,98001,"AUBURN","WA","Washington",280000.0
13885,1942,0,2,1.0,1.0,940,0,1,1,0,0,1,4,98103,"SEATTLE","WA","Washington",283000.0
13886,1980,0,3,1.0,1.0,1110,0,1,0,1,3,0,3,98052,"REDMOND","WA","Washington",411500.0
13887,1967,0,3,2.25,1.0,2420,1,0,1,1,2,0,4,98023,"FEDERAL WAY","WA","Washington",282000.0
13888,2005,0,3,2.5,2.5,1850,1,1,0,0,0,0,3,98199,"SEATTLE","WA","Washington",535000.0
13889,1943,0,4,2.5,2.0,2020,1,0,0,1,3,0,5,98199,"SEATTLE","WA","Washington",554729.0
13890,1943,0,4,2.5,2.0,2020,1,0,1,0,0,0,5,98199,"SEATTLE","WA","Washington",868000.0
13891,1991,0,3,2.5,1.0,1830,1,0,0,0,0,1,3,98045,"NORTH BEND","WA","Washington",427000.0
13892,1954,0,4,1.75,1.0,1920,1,0,1,0,0,1,4,98125,"SEATTLE","WA","Washington",455000.0
13893,1953,2010,2,1.75,1.0,1280,0,0,1,0,0,1,3,98033,"KIRKLAND","WA","Washington",595000.0
13894,2004,0,4,2.5,2.0,3130,0,1,1,1,2,0,3,98038,"MAPLE VALLEY","WA","Washington",400000.0
13895,1997,0,4,2.5,2.0,3920,0,1,1,1,1,0,3,98075,"SAMMAMISH","WA","Washington",770000.0
13896,1919,1996,4,2.75,2.0,3100,1,1,1,0,0,0,3,98122,"SEATTLE","WA","Washington",742500.0
13897,1973,0,4,2.5,1.0,3220,1,1,1,1,3,1,5,98006,"BELLEVUE","WA","Washington",1250000.0
13898,1968,0,3,2.0,1.0,1670,0,0,0,0,0,1,3,98045,"NORTH BEND","WA","Washington",375000.0
13899,1960,0,4,2.5,2.0,2700,0,1,0,1,2,0,4,98004,"BELLEVUE","WA","Washington",1560000.0
13900,1964,0,4,2.0,1.0,5461,1,0,0,1,2,0,4,98032,"KENT","WA","Washington",545000.0
13901,2003,0,4,3.25,2.0,4400,0,1,1,0,0,0,3,98075,"SAMMAMISH","WA","Washington",1050000.0
13902,1957,0,3,1.75,1.0,2190,0,0,1,0,0,1,4,98112,"SEATTLE","WA","Washington",1570000.0
13903,1970,0,4,1.5,1.5,1200,0,0,0,0,0,1,4,98092,"AUBURN","WA","Washington",178000.0
13904,1989,0,3,1.75,1.0,1470,0,1,1,0,0,1,3,98031,"KENT","WA","Washington",262500.0
